"DIVISÃO DO FABRICANTE";"SERVERIDADE DO FABRICANTE";"CATEGORIA DO FABRICANTE";"NOME DO EVENTO";"THRESHOLD";"IMPACTO";"AÇÃO RECOMENDADA";"ZABBIX TRIGGER";"FAMÍLIA DO EQUIPAMENTO";"AUTENTICAÇÃO INICIAL/RENOVAÇÃO";"POLÍTICA DE REDIRECIONAMENTO";"COMANDO CURL POSSÍVEL";"OBSERVAÇÕES PARA USO"
"Protocols";"Degraded";"NFS";"NFS Service";"down";"Access impact";"Restart service";"last(/host/nfs.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/protocols/nfs/settings/global""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Mostra configuração. Combinar com eventos/estatísticas para confirmar estado operacional."
"Protocols";"Degraded";"SMB";"SMB Service";"down";"Access impact";"Restart service";"last(/host/smb.status)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/protocols/smb/settings/global""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Mostra configuração. Combinar com eventos/estatísticas para confirmar estado operacional."
"Security";"Critical";"Audit";"Audit Disabled";"Any";"Compliance risk";"Enable audit";"last(/host/audit.enabled)=0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/audit/settings/global""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Validar $PS_API primeiro com GET /platform/latest; os nomes e campos podem variar conforme o OneFS."
"Security";"Critical";"Admin";"Unauthorized Admin";"Any";"Security breach";"Investigate";"change(/host/admin.count)>0";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/event/eventgroup-occurrences""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. O endpoint fornece eventos, mas a classificação como não autorizado exige auditoria/SIEM e regra aprovada."
"Security";"Critical";"Certificate";"Certificate Expiring";"<30d";"Security risk";"Renew";"last(/host/cert.days)<30";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS -vI --connect-timeout 10 --max-time 30 --cacert ""$CA"" ""https://$HOST:8080/""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. O detalhe do certificado aparece em stderr; para cálculo de dias, preferir item web.certificate do Zabbix ou OpenSSL."
"Security";"Critical";"Ransomware";"Ransomware Pattern";"auth deletes";"Cyber risk";"Escalate";"count(/host/auth.failed,5m)>50";"PowerScale / Isilon";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""Content-Type: application/json"" -H ""Accept: application/json"" -c ""$PS_COOKIE_FILE"" -D ""$PS_HEADERS_FILE"" --data ""{\""username\"":\""$USER\"",\""password\"":\""$PASS\"",\""services\"":[\""platform\""]}"" ""https://$HOST:8080/session/1/session""";"Preferir o FQDN final/SmartConnect na porta 8080. Não seguir automaticamente redirect que mude host ou porta enquanto X-CSRF-Token estiver presente. Validar Location em allowlist e repetir explicitamente. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$PS_COOKIE_FILE"" -c ""$PS_COOKIE_FILE"" -H ""X-CSRF-Token: $PS_CSRF_TOKEN"" -H ""Accept: application/json"" --referer ""https://$HOST:8080"" ""https://$HOST:8080/platform/$PS_API/event/eventgroup-occurrences""";"Autenticar ao iniciar. Extrair isicsrf para $PS_CSRF_TOKEN e reutilizar o cookie isisessid; renovar somente após expiração/HTTP 401 ou erro de sessão. HTTP 403 também pode ser falta de permissão. Não existe regra genérica confiável; validar recurso/licença antirransomware ou correlacionar no SIEM."
"Hardware";"Critical";"Cluster";"Cluster Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/nodes""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Obter $TOKEN com GET https://$HOST:4443/login usando Basic; validar o endpoint na referência da release ECS instalada."
"Hardware";"Degraded (cluster)";"Controller";"Controller Down";">5m";"Outage";"Failover/repair";"last(/host/controller.status)=0";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/nodes""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. ECS usa nós, não controladoras de storage tradicionais; avaliar estado por nó."
"Hardware";"Critical";"Disk";"Multiple Disk Failure";"1 failed";"Data risk";"Replace disk";"last(/host/disks.failed)>1";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/alerts""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. A API gerencial pode expor o problema como alerta, sem inventário completo de discos; validar na release."
"Hardware";"Critical";"PSU";"Power Supply Failure";"Any";"Redundancy loss";"Replace PSU";"last(/host/psu.status)=0";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/alerts""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Validar se o alerta inclui nó/componente; usar ferramenta de hardware complementar se necessário."
"Hardware";"Degraded";"Fan";"Fan Failure";"Any";"Cooling reduced";"Replace fan";"last(/host/fan.status)=0";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/alerts""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Validar se o alerta inclui nó/componente; usar ferramenta de hardware complementar se necessário."
"Hardware";"Major";"Temperature";"High Temp";">40C";"Stress";"Check cooling";"avg(/host/temp,10m)>40";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/alerts""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Validar alerta ambiental ou uma measurement Flux de sensor disponível na release."
"Performance";"Major";"Latency";"SMB latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"NÃO APLICÁVEL";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. ECS não oferece SMB como protocolo base; marcar não aplicável salvo arquitetura adicional comprovada."
"Performance";"Major";"Latency";"NFS latency";">20 ms";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Aplicável somente se ECS NFS fizer parte do escopo."
"Performance";"Major";"Latency";"NFS retransmissions";">1% of calls";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Se a measurement não existir, coletar do cliente NFS."
"Performance";"Major";"Latency";"CPU utilization";">80%";"Slow apps";"Tune workload";"avg(/host/cpu,15m)>80";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Validar a measurement cpu."
"Performance";"Major";"Latency";"Storage utilization";">85%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Validar measurement/field de disco ou transações."
"Performance";"Major";"Latency";"Network utilization";">80% link capacity";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Validar a measurement net."
"Performance";"Major";"Latency";"Packet loss";">0.1%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Usar erros/descartes e total de pacotes para calcular percentual."
"Capacity";"Critical";"CPU";"Controller CPU";">95%";"Service impact";"Investigate";"avg(/host/cpu,15m)>95";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"NÃO APLICÁVEL";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. ECS usa CPU por nó; reutilizar CPU utilization em vez de criar item de controladora."
"Capacity";"Major";"Volume";"Volume Usage";">80%";"Growth risk";"Plan capacity";"last(/host/volume.used)>80";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/object/capacity""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. ECS não possui volume de bloco; mapear capacidade por namespace, bucket, replication group ou storage pool."
"Capacity";"Major";"Pool";"Pool Usage";">90%";"Capacity risk";"Expand pool";"last(/host/pool.used)>90";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/vdc/data-services/varrays""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Obter $TOKEN com GET https://$HOST:4443/login usando Basic; validar o endpoint na referência da release ECS instalada."
"Capacity";"Critical";"Pool";"Pool Full";">95%";"Service impact";"Emergency expansion";"last(/host/pool.used)>95";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/object/capacity""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Confirmar os campos total/usado/livre e a unidade antes de calcular percentual."
"Replication";"Critical";"DR";"Replication Failed";">15m";"DR unavailable";"Restore";"last(/host/repl.status)=0";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -H ""X-SDS-AUTH-TOKEN: $TOKEN"" ""https://$HOST:4443/data/data-service/vpools""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Usar replication groups e complementar com alerts/Flux para estado operacional."
"Replication";"Major";"Lag";"Replication Lag";">1h";"Recovery risk";"Investigate";"last(/host/repl.lag)>3600";"ECS";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""Accept: application/json"" -c ""$ECS_COOKIE_FILE"" -D ""$ECS_HEADERS_FILE"" ""https://$HOST:4443/login""";"Em coleta autenticada, 302 sem follow ou 401 depois de follow pode indicar token expirado: refazer /login. Não encaminhar X-SDS-AUTH-TOKEN para destino fora da allowlist. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -X POST -H ""X-SDS-AUTH-TOKEN: $TOKEN"" -H ""Content-Type: application/json"" --data ""$FLUX_QUERY_JSON"" ""https://$HOST:4443/flux/api/external/v2/query""";"Autenticar ao iniciar. Extrair X-SDS-AUTH-TOKEN de $ECS_HEADERS_FILE para $TOKEN (ou reutilizar $ECS_COOKIE_FILE); renovar somente quando expirar. Montar $FLUX_QUERY_JSON com bucket, measurement, field e tags confirmados na release; vários campos são contadores cumulativos. Validar measurement de geo-replicação e timestamps/backlog."
